question_id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,r1,r2,s,ground_truth
f029b8e8-1771-4354-beca-ae441b87b771,6.263894,0.10204828,0.49202046,0.33400977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52601284,0.044850696,0.0,0.044850696,6.0101767,0.04351931,0.4760924,0.26518038,0.53846157,0,0.6931471805599453,12.800083,2
f029b8e8-1771-4354-beca-ae441b87b771,5.551926,1.6831615,0.7212401,1.8441738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9051672,0.5040841,0.0,0.5040841,5.2053304,1.3325958,0.7508136,1.4471766,0.53846157,1,0.4054651081081644,11.662424,0
f029b8e8-1771-4354-beca-ae441b87b771,5.1239867,1.0915074,0.0,1.0915074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0868857,0.35135287,0.0,0.35135287,4.733466,0.63688457,0.0,0.63688457,0.3846154,2,0.2876820724517809,10.944339,3
f029b8e8-1771-4354-beca-ae441b87b771,5.3929024,0.4556583,1.8099908,0.6136242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.398552,0.5282063,1.809369,0.68397796,0.3846154,3,0.22314355131420976,10.791454,0
f029b8e8-1771-4354-beca-ae441b87b771,4.5504246,0.7278148,0.20847933,0.9025929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.504913,0.30038422,0.12985359,0.35498467,4.0782247,0.30803967,0.04519039,0.39118004,0.3846154,4,0.18232155679395462,9.133562,0
f029b8e8-1771-4354-beca-ae441b87b771,4.488375,1.2692058,0.3420369,1.2999871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17886612,0.086749226,0.0,0.086749226,4.43974,1.2075357,0.38141635,1.242501,0.3846154,5,0.1541506798272583,9.106981,2
f029b8e8-1771-4354-beca-ae441b87b771,4.4506755,0.0,1.8559098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.355422,0.0,1.7506988,0.0,0.53846157,6,0.13353139262452263,8.806097,0
f029b8e8-1771-4354-beca-ae441b87b771,4.1441875,0.0,1.9438019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042764068,0.0,0.0,0.0,3.962243,0.0,1.8433291,0.0,0.23076925,7,0.11778303565638346,8.149195,0
f029b8e8-1771-4354-beca-ae441b87b771,4.154752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16305664,0.0,0.0,0.015187012,3.778102,0.0,0.0,0.0,0.4615385,8,0.1053605156578263,8.09591,0
f029b8e8-1771-4354-beca-ae441b87b771,3.4563477,0.30029476,1.2555346,0.30029476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.043098,0.086749226,0.0,0.086749226,2.9001515,0.10111141,0.5277358,0.10111141,0.30769232,9,0.09531017980432487,7.399597,0
